pod_name,cpu_usage,memory_usage,cpu_cost,memory_cost
avdataservicecdc--1-0-2014--trdp1upc-6488c9cf58-f2pdt,3.012804418779814,1.696542991486434,5.853658536585367,2.4968099491496374
avdatastream--1-0-588--pul7u3iq-64d9db676f-5g54c,14.310820989204117,21.07673203839783,27.80487804878049,31.018721313348696
avdatastream--1-0-588--pul7u3iq-64d9db676f-rtgvp,14.310820989204117,21.07673203839783,27.80487804878049,31.018721313348696
avdatastream--1-0-588--pul7u3iq-64d9db676f-rxd65,14.310820989204117,21.07673203839783,27.80487804878049,31.018721313348696
avglogsingestion--1-0-686--qtmk5oqj-68f57f875-5cnts,5.523474767762993,3.021684122899179,10.731707317073171,4.4470261108042735
ajd4jvh4r9-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
avbvlfleetcamsegmentdecoder--1-0-33--bp6ercg9-tdx2g,6.138392857142857,5.567630400867968,5.684754521963824,6.982127535800001
avcarvizplayback--1-0-276--blsoguu4-7c6ccc9bc5-7l9ww,7.533482142857142,4.658049429188198,6.976744186046512,5.841460880302362
avcloudgo--1-0-410--l5if9535-596947cb4-82c8t,3.3482142857142856,1.9293065141488874,3.10077519379845,2.419460913809445
avdataservicecdc--1-0-2014--trdp1upc-6488c9cf58-lnfk2,3.3482142857142856,4.658049429188198,3.10077519379845,5.841460880302362
avglogsingestion--1-0-686--qtmk5oqj-68f57f875-zgg4x,6.138392857142857,8.296373315907278,5.684754521963824,10.40412750229292
avingestservice--1-0-1169--ccv896ls-5c78b454c7-66sp6,4.743303571428571,2.8388874858286575,4.3927648578811365,3.5601275693070846
avingestservice--1-0-1169--ccv896ls-5c78b454c7-7t4l7,4.743303571428571,2.8388874858286575,4.3927648578811365,3.5601275693070846
avingestservice--1-0-1169--ccv896ls-5c78b454c7-dl6zq,4.743303571428571,2.8388874858286575,4.3927648578811365,3.5601275693070846
avingestservice--1-0-1169--ccv896ls-5c78b454c7-f2j5j,4.743303571428571,2.8388874858286575,4.3927648578811365,3.5601275693070846
avingestservice--1-0-1169--ccv896ls-5c78b454c7-vbr2x,4.743303571428571,2.8388874858286575,4.3927648578811365,3.5601275693070846
avmetricsclient--2-1-297--u9d177bv-1583989260-bdqmq,1.953125,3.7484684575084275,1.8087855297157622,4.700794224804723
cf7q33q5ng-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
e2f9qfvmsp-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
f1xvle1y,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
f6pklnwi-mission--disengagement-triage-view-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fagix1pg5r-create-table-3-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fectfoii,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
felbwkqq,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fhusdlka-flq61vgq-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
fimtrdla,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fpravyma-fc4gk1ji-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
fqohruki-figmoppi-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
fqohruki-mission--disengagement-triage-view-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fqujsgei-software--releases-create-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fqujsgei-software--releases-insert-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
frvrfwmi,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fs1sl6ey-fc4gk1ji-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
fwogbduy,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
fxdqlrla-figmoppi-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
gmtuyham92-create-table-3-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
gmtuyham92-create-table-4-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
gmtuyham92-insert-table-2-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
gmtuyham92-insert-table-3-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
gmtuyham92-insert-table-4-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
n3jspzrta1-format-message-task-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
nkflhirx34-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
peoe5p7g6s-create-table-3-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
rlgtd2rbfz-mission-0-mission--notes-view-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
tq02ed5ywa-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
u3x7cihljr-mission-0-fx3rwhki-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
uebtdk60kr-mission-0-fl4gqssa-0,2.7901785714285716,1.8628218300001693,2.5839793281653747,2.3360853104591643
voy4682r7h-mission-0-mission--notes-view-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
ydfe4qj4ho-post-slack-content-0,1.3950892857142858,0.90958097167977,1.2919896640826873,1.140666655497639
avdatastream--1-0-588--pul7u3iq-64d9db676f-8q8hx,14.310820989204117,21.07673203839783,21.839080459770116,29.94374172672452
avdatastream--1-0-588--pul7u3iq-64d9db676f-h6q9s,14.310820989204117,21.07673203839783,21.839080459770116,29.94374172672452
avdatastream--1-0-588--pul7u3iq-64d9db676f-mhspt,14.310820989204117,21.07673203839783,21.839080459770116,29.94374172672452
avfleetcamsegmentcleaner--1-0-78--4bevugt9-6t2gv,3.012804418779814,0.7026871429268755,4.597701149425287,0.9983085747904105
avfleetcamsegmentqa--1-0-95--9ih7796m-zj22k,5.523474767762993,1.3652577086332478,8.42911877394636,1.9396234740403
